word	ipa	russian_def	georgian_def
დუდი	dudi	1. голова 2. начало 3. вершина (башни) 4. крышка 5. себя	თავი 2. დასაწყისი 3. მწვერვალი (კოშკის) 4. სახურავი, სარქველი 5. თავი (ნაცვალსახელი)
დუდი(ი)არდებული	dudi(i)ardebuli	дерзкий	თავაგდებული
დუდიკათა	dudik'ata	главари	თავკაცები
დუდ(ი)კოჩი	dud(i)k'ot͡ʃi	главарь	თავკაცი
დუდ(ი)გიმე	dud(i)gime	вверх ногами, кверху ногами	თავდაღმა
დუდინი	dudini	бубнить	დუდღუნი
დუდ(ი)ღურელი!	dud(i)ɣureli	формула покаяния (букв. сам мертвый)	დანანების ფორმულა (სიტყვასიტყვით თავმკვდარი)
დუდიშე	dudiʃe	сначала	თავიდან
დუდიშხუ	dudiʃxu	большеголовый, крупноголовый	თავმსხვილი
დუდმახვენჯი	dudmaxvend͡ʒi	председатель	თავმჯდომარე
დუდო	dudo	сам	თავად, თვითონ
დუდუკი	duduk'i	дудук	დუდუკი
დუდუჩა	dudut͡ʃa	1. черноголовый 2. перен. ворона	შავთავა, შავთავიანი 2. გადატ. ყვავი
დუდშველა	dudʃvela	с непокрытой головой, простоволосый	თავშიშველი
დუდ(ი)შულობა	dud(i)ʃuloba	свобода	თავისუფლება
დუდიშუ(უ)ლი	dudiʃu(u)li	свободный, самостоятельный	თავისუფალი, დამოუკიდებელი
დუდღურელი!	dudɣureli	проклятый! (восклицание)	წყეული! თავმკვდარი! (წამოძახილია)
დუდშუშელე см. დუდშველა	dudʃuʃele см. dudʃvela		
დულუ	dulu	комолый, безрогий (козел)	ურქო, დოლა (თხა)
დუმა (თოფიშ)	duma (topiʃ)	приклад	კონდახი
დუმფარა	dumpara	кувшинка (белая)	თეთრი დუმფარა
დუნაბადი//დჷნაბადი	du/ənabadi//du/ənabadi	рожденный	დაბადებული, დანაბადი
დუნატებუ	dunat'ebu	оставленный	დანატოვები
დუნია	dunia	мир, вселенная	დუნია, სამყარო, ქვეყანა
დურბინტი	durbint'i	подзорная труба, бинокль	დურბინდი
დურგალი	durgali	плотник, столяр	დურგალი
დურინი	durini	1. нестись, мчаться 2. внезапно отсечь (напр., го-лову)	ქროლა, ფრენა ხმის გამოცემით 2. უეცრად მოკვეთა (მაგ., თავის)
დურუ	duru	1. углубление, яма 2. дуралей	ჩაღრმავება, ღრმული 2. ბრიყვი, ტუტუცი 110 დ
დურუბე	durube	дуралей, дурачок	ბრიყვი, ტუტუცი
დურუმი	durumi	1. дремучий, глухой (лес) 2. глубоко болотистое место	ბნელი და ყრუ ადგილი; უღრანი, დაბურული ტყე 2. ღრმაჭაობიანი ადგილი
